ID,Область,Громада,Населений пункт,Вулиця,"SUM of Сума компенсації, грн",COUNTA of Тип заяви
e0ab178ce0e6274cb53d50064113351f,Донецька обл.,Андріївська,с. Андріївка,вул. Козацька,"0,00",8
fdaf2a8e226543b6c7c2d263b03c5d19,Донецька обл.,Андріївська,с. Андріївка,вул. Миру,"0,00",16
19c0c8f2e02abcebd888b0ed806c2807,Донецька обл.,Андріївська,с. Андріївка,вул. Переїздна,"0,00",1
756042d9aba69044b8f0cbc7c9699ca4,Донецька обл.,Андріївська,с. Андріївка,вул. Перемоги,"0,00",14
38b782ca31bd06d91abac9db4981eff4,Донецька обл.,Андріївська,с. Андріївка,вул. Сологуба Андрія,"0,00",25
a38ef609aa29a316b05cd11cbd1badc1,Донецька обл.,Андріївська,с. Андріївка,вул. Степова,"0,00",2
6d431ac5bc87b6ae3862733beaf4071c,Донецька обл.,Андріївська,с. Андріївка,пров. Барвінковий,"0,00",2
837dd8916e69d1c9b11da600bfc03b72,Донецька обл.,Андріївська,с. Андріївка,пров. Вишневий,"0,00",1
a5ecd2037fc12820960483819830515d,Донецька обл.,Андріївська,с. Андріївка,пров. Гаражний,"0,00",1
f50c9e3ded96700522ee6b61d7b43e5b,Донецька обл.,Андріївська,с. Андріївка,пров. Дружби,"0,00",1
253d354858c657481cc63760ca955a78,Донецька обл.,Андріївська,с. Андріївка,пров. Зуєнка Валерія,"0,00",4
6e373273631323c1653644561f666ae7,Донецька обл.,Андріївська,с. Андріївка,пров. Квітковий,"0,00",3
9673c90758885775ca890f6a4da779da,Донецька обл.,Андріївська,с. Андріївка,пров. Костенко Ліни,"0,00",4
f48b5484ee12af188750b72f91319f80,Донецька обл.,Андріївська,с. Андріївка,пров. Луговий,"0,00",1
3124946e0f642da9773eae1447562f18,Донецька обл.,Андріївська,с. Андріївка,пров. Польовий,"0,00",1
8eda35e11d29ff6593223c2a9d98c386,Донецька обл.,Андріївська,с. Андріївка,пров. Садовий,"0,00",1
5e584e884d12eb643a24415a6b985423,Донецька обл.,Андріївська,с. Андріївка,пров. Фермерський,"0,00",3
24fcb5da00b43834d7db27c0018f3bc4,Донецька обл.,Андріївська,с. Андріївка,пров. Франка Івана,"0,00",4
20a4d6b27e93d47e46fb8733991ee428,Донецька обл.,Андріївська,с. Андріївка,пров. Шкільний,"0,00",1
b387c95de06f83c27f025f1010790f22,Донецька обл.,Андріївська ,с. Андріївка,вул. Лісова,"1284162,50",1
931b76eb3a848a3649a5a2128d516f24,Донецька обл.,Андріївська ,с. Андріївка,вул. Миру,"5215051,50",3
6c0a74686f74dace5af16ec688504b0e,Донецька обл.,Андріївська ,с. Андріївка,вул. Молодіжна,"1376081,50",2
91353d2868b4fbd82baf79c012dc5982,Донецька обл.,Андріївська ,с. Андріївка,вул. Садова,"1770290,40",2
8ae8b9e0b2ba845604dc4759bc4fb114,Донецька обл.,Андріївська ,с. Роганське,вул. Сонячна,"1427448,00",1
d4d1cfd97bbd132a03ffab9927cc1b78,Донецька обл.,Бахмутська,м. Бахмут,пров. 2-й Залізничний,"0,00",1
69c6cc6c3bda6ccbc36b7310a60794f9,Донецька обл.,Бахмутська,с. Андріївка,вул. Переїздна,"8032440,50",6
8a7d2f26d5c44a6f96134998b40d8b8a,Донецька обл.,Бахмутська,с. Андріївка,вул. Степова,"1266397,50",2
d2347482a44c6377ad338ea17722da64,Донецька обл.,Бахмутська,с. Відродження,вул. Козацька,"0,00",2
d861048e01ae03d8130c3915435284e0,Донецька обл.,Бахмутська,с. Іванівське,вул. Воронезька,"0,00",3
20d0615062dfe20afb72b6bb1ec1ee03,Донецька обл.,Бахмутська,с. Іванівське,вул. Восточна,"0,00",1
eafec252c324f29e6c653336dbc68746,Донецька обл.,Бахмутська,с. Іванівське,вул. Зарічна,"0,00",5
77c2461092ab1028f70c95a3c92d7bd9,Донецька обл.,Бахмутська,с. Іванівське,вул. Зелена,"0,00",1
668b31fb9ded282309c43454b2001051,Донецька обл.,Бахмутська,с. Іванівське,вул. Зеленодольська,"0,00",1
7dfaa471365c23f67598a20d7faa8df9,Донецька обл.,Бахмутська,с. Іванівське,вул. Липська,"0,00",1
f62c0358a3d096675d090e7a00e44bc5,Донецька обл.,Бахмутська,с. Іванівське,вул. Лісова,"0,00",1
91e81db9110ebea67646298dc0400648,Донецька обл.,Бахмутська,с. Іванівське,вул. Миру,"0,00",4
3d3e596cb03fdfc45d7c27949f6c1f2a,Донецька обл.,Бахмутська,с. Іванівське,вул. Нова,"0,00",1
3b3fda6125ba6bc46d4af894a8c28cc3,Донецька обл.,Бахмутська,с. Іванівське,вул. Освітня,"0,00",6
5c19fdd0e6a59ea0d9ae2a1abbb7aefe,Донецька обл.,Бахмутська,с. Іванівське,вул. Садова,"0,00",3
b4bcd4b666176432f3e5ad5a6cf73ff9,Донецька обл.,Бахмутська,с. Іванівське,вул. Свободи,"0,00",2
82c42e46ba9793bba994718865334996,Донецька обл.,Бахмутська,с. Іванівське,вул. Терешкової,"0,00",6
8d13eea4e5c8c4f8ce194b398d5d20c2,Донецька обл.,Бахмутська,с. Іванівське,вул. Хрещенівська,"0,00",6
da15c8c05eccfd84809a24efa26f1e1c,Донецька обл.,Бахмутська,с. Іванівське,вул. Широка,"0,00",8
765b474fb8bdae106b737ba22f0ea78a,Донецька обл.,Бахмутська,с. Іванівське,вул. Шосейна,"0,00",5
f14fc607ef31a1cc62e9a99619d8d48e,Донецька обл.,Бахмутська,с. Іванівське,пров. Затишний,"0,00",2
00804c58b06b753a52d19c2d5501bda1,Донецька обл.,Бахмутська,с. Іванівське,пров. Свободи,"0,00",2
0c6bd4ae5b47f0152f669d3f08caf083,Донецька обл.,Бахмутська,с. Кліщіївка,вул. Бахмутська,"8464658,50",2
070bfdfc0053cabf4979aa810c97f250,Донецька обл.,Бахмутська,с. Кліщіївка,вул. Джерельна,"1714019,00",2
9cdb873c4cc45b646c0abe046127b5d3,Донецька обл.,Бахмутська,с. Кліщіївка,вул. Клубна,"8523799,30",5
d96d3daf0ad70b0a150cd225e6341e2e,Донецька обл.,Бахмутська,с. Кліщіївка,вул. Первомайська,"4409408,50",4
1a1c82f574b648ce35a6f5b54f8ad679,Донецька обл.,Бахмутська,с. Кліщіївка,вул. Першотравнева,"10591111,10",11
16aa09be46110c0afea132749b83bdba,Донецька обл.,Бахмутська,с. Кліщіївка,вул. Садова,"19540226,25",9
abaaaff757634e629832ba230574b765,Донецька обл.,Бахмутська,с. Кліщіївка,вул. Сонячна,"0,00",1
8527b911475beb7c2a944cff4c735f22,Донецька обл.,Бахмутська,с. Кліщіївка,вул. Тавричанська,"29404404,30",22
